City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,zhelezinka,53.54,75.3072,17.21,94,97,3.19,KZ,1720303891
124,dryden,49.7833,-92.7503,22.7,63,98,1.85,CA,1720303893
125,avarua,-21.2078,-159.775,27.03,83,75,5.66,CK,1720303894
126,kulhudhuffushi,6.6221,73.07,28.49,79,100,5.45,MV,1720303895
127,sainte-adresse,49.5089,0.0845,15.24,67,100,8.75,FR,1720303897
128,letterkenny,54.95,-7.7333,8.48,97,88,1.76,IE,1720303898
129,la ronge,55.1001,-105.2842,26.12,44,100,2.06,CA,1720303899
130,novodvinsk,64.4165,40.8122,10.86,91,3,2.78,RU,1720303900
131,wailua homesteads,22.0669,-159.378,27.44,68,75,5.14,US,1720303902
132,minas de marcona,-15.2119,-75.1103,13.86,74,41,6.78,PE,1720303903
133,lovington,32.944,-103.3485,32.4,35,0,1.79,US,1720303904
134,birao,10.2849,22.7882,22.91,91,100,2.95,CF,1720303905
135,ta`u,-14.2336,-169.5144,27.4,77,26,2.96,AS,1720303907
136,shiraoi,42.55,141.35,21.78,96,100,2.88,JP,1720303908
137,west island,-12.1568,96.8225,26.99,83,40,6.69,CC,1720303909
138,puerto baquerizo moreno,-0.9,-89.6,24.55,88,20,3.6,EC,1720303910
139,beihai,21.4833,109.1,28.93,83,7,7.18,CN,1720303912
140,margaret river,-33.95,115.0667,15.08,81,76,9.55,AU,1720303913
141,yaren,-0.5472,166.916,27.97,76,100,4.37,NR,1720303914
142,belmonte,-15.8631,-38.8828,23.09,81,55,2.62,BR,1720303915
143,anori,-3.7728,-61.6442,28.33,59,28,1.15,BR,1720303917
144,ashkasham,36.6833,71.5333,10.52,60,82,2.28,AF,1720303918
145,lesosibirsk,58.2358,92.4828,17.22,94,13,0.68,RU,1720303920
146,kingscliff,-28.2667,153.5667,15.98,82,52,4.12,AU,1720303921
147,carnarvon,-24.8667,113.6333,18.6,86,94,0.19,AU,1720303922
148,rumoi,43.9344,141.6428,19.84,97,100,0.43,JP,1720303923
149,semirom,31.4167,51.5667,19.0,23,13,1.89,IR,1720303925
150,yellowknife,62.456,-114.3525,19.67,61,99,4.47,CA,1720303926
151,nova sintra,14.8667,-24.7167,23.77,82,76,5.49,CV,1720303928
152,hayrabolu,41.2131,27.1069,19.0,82,0,2.53,TR,1720303930
153,hawaiian paradise park,19.5933,-154.9731,27.73,68,100,3.09,US,1720303931
154,vilyuchinsk,52.9306,158.4028,14.15,89,97,1.19,RU,1720303932
155,sao miguel do araguaia,-13.275,-50.1628,26.5,31,0,1.19,BR,1720303934
156,la passe,45.5549,-0.8967,15.55,67,74,3.0,FR,1720303936
157,geraldton,-28.7667,114.6,14.23,94,75,4.63,AU,1720303938
158,bayside,40.8424,-124.0637,28.64,39,8,2.13,US,1720303939
159,tamanrasset,22.785,5.5228,29.95,11,20,1.54,DZ,1720303940
160,magadan,59.5667,150.8,11.65,91,100,0.79,RU,1720303942
161,sao miguel do tapuio,-5.5036,-41.3233,28.87,37,87,2.25,BR,1720303943
162,kaga bandoro,6.9896,19.1874,21.54,95,91,0.86,CF,1720303944
163,fale old settlement,-9.3852,-171.2468,28.32,74,96,3.25,TK,1720303946
164,yuktae-dong,40.0247,128.1597,21.38,90,14,3.29,KP,1720303947
165,quibala,-10.7337,14.98,15.58,64,53,0.92,AO,1720303948
166,cidreira,-30.1811,-50.2056,11.51,63,99,3.29,BR,1720303949
167,bubaque,11.2833,-15.8333,27.1,80,100,7.03,GW,1720303951
168,kiunga,-6.1219,141.2906,23.17,98,100,0.8,PG,1720303952
169,labrador city,52.9463,-66.9114,23.99,29,43,17.43,CA,1720303953
170,outjo,-20.1167,16.15,14.61,21,0,2.29,NA,1720303954
171,derzhavinsk,51.1,66.3167,16.59,88,66,4.53,KZ,1720303956
172,punta arenas,-53.15,-70.9167,-1.94,86,75,2.57,CL,1720303957
173,port elizabeth,-33.918,25.5701,13.16,65,0,3.09,ZA,1720303958
174,tomatlan,19.9333,-105.25,31.05,62,64,4.32,MX,1720303959
175,kununurra,-15.7667,128.7333,12.99,88,83,0.0,AU,1720303961
176,akalkot,17.5333,76.2167,25.06,72,100,7.81,IN,1720303962
177,artigas,-30.4,-56.4667,5.46,72,17,4.14,UY,1720303963
178,atmore,31.0238,-87.4939,33.64,72,91,2.52,US,1720303964
179,abu dhabi,24.4667,54.3667,34.97,62,0,1.03,AE,1720303966
180,kapoeta,4.7717,33.5903,22.29,85,100,0.64,SS,1720303967
181,yuzhno-kurilsk,44.0306,145.8556,13.57,99,100,3.12,RU,1720303968
182,varadero,23.1536,-81.2514,31.42,76,10,5.09,CU,1720303970
183,rongelap,11.1635,166.8941,28.52,79,80,7.69,MH,1720303971
184,anta,25.15,76.3,28.41,82,100,3.3,IN,1720303972
185,newtown,-33.8984,151.1775,11.96,83,75,3.6,AU,1720303973
186,yeosu,34.7546,127.6599,23.52,94,100,3.07,KR,1720303975
187,nar'yan-mar,67.6713,53.087,18.99,92,100,3.78,RU,1720303795
188,marsh harbour,26.5412,-77.0636,29.99,58,72,1.23,BS,1720303977
189,dipayal,29.2608,80.94,23.29,99,100,0.91,NP,1720303978
190,zhangjiakou,40.81,114.8794,21.66,62,100,2.23,CN,1720303980
191,at-bashi,41.1702,75.8106,11.26,51,6,1.48,KG,1720303981
192,hirna,9.2167,41.1,16.72,89,97,3.9,ET,1720303982
193,port lincoln,-34.7333,135.8667,12.78,85,72,10.02,AU,1720303984
194,mchinji,-13.7984,32.8802,12.46,35,1,1.19,MW,1720303985
195,maralal,1.0968,36.698,16.74,80,91,0.11,KE,1720303986
196,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,88,75,1.0,RU,1720303987
197,ulanhot,46.0833,122.0833,23.64,67,100,1.69,CN,1720303989
198,margate,51.3813,1.3862,13.16,76,9,6.37,GB,1720303990
199,micheweni,-4.9667,39.8333,24.85,77,19,5.03,TZ,1720303991
200,sao joao da barra,-21.6403,-41.0511,22.05,90,0,5.17,BR,1720303992
201,talnakh,69.4865,88.3972,7.96,85,57,4.31,RU,1720303994
202,sinop,41.7711,34.8709,17.21,86,80,1.16,TR,1720303996
203,praia da vitoria,38.7333,-27.0667,23.75,80,22,4.43,PT,1720303997
204,nago,26.5881,127.9761,30.25,82,0,2.6,JP,1720303999
205,buka,40.8108,69.1986,22.46,30,0,1.24,UZ,1720304000
206,petricani,47.1667,26.4667,17.16,77,59,1.59,RO,1720304001
207,g'uzor,38.6214,66.2522,21.02,29,0,1.11,UZ,1720304002
208,hammerfest,70.6634,23.6821,11.25,93,75,2.57,NO,1720304004
209,bismarck,46.8083,-100.7837,25.36,51,0,2.06,US,1720303778
210,kisumu,-0.1022,34.7617,19.47,85,100,2.52,KE,1720304006
211,gubakha,58.8386,57.5532,14.53,74,7,2.03,RU,1720304007
212,polyarnyy,69.1989,33.4478,11.83,89,100,8.16,RU,1720304009
213,cooper's town,26.8667,-77.5167,28.62,67,70,3.18,BS,1720304010
214,constantia,44.1833,28.65,20.39,65,6,2.63,RO,1720304011
215,tomaszow mazowiecki,51.5313,20.0086,24.12,66,73,4.74,PL,1720304013
216,viedma,-40.8135,-62.9967,4.43,64,37,3.36,AR,1720304014
217,mount gambier,-37.8333,140.7667,3.48,87,0,3.02,AU,1720304015
218,kez,57.8979,53.7152,17.5,91,0,1.08,RU,1720304016
219,hermanus,-34.4187,19.2345,14.89,43,48,6.24,ZA,1720304017
220,varash,51.3485,25.8497,18.28,83,57,4.11,UA,1720304019
221,cambria,35.5641,-121.0808,47.1,60,26,2.2,US,1720304020
222,cabo san lucas,22.8909,-109.9124,33.61,43,0,4.12,MX,1720303983
223,arzamas,55.3949,43.8399,13.9,83,4,2.96,RU,1720304022
224,punta del este,-34.9667,-54.95,8.26,78,0,1.03,UY,1720304024
225,uturoa,-16.7333,-151.4333,26.19,78,5,8.15,PF,1720304025
226,pangai,-19.8,-174.35,22.06,79,100,10.66,TO,1720304027
227,krasnokholmskiy,55.9873,55.0466,18.34,66,52,1.64,RU,1720304029
228,sona,45.4388,10.8255,24.69,83,0,0.51,IT,1720304030
229,armidale,-30.5167,151.65,4.64,97,61,3.47,AU,1720304031
230,maintirano,-18.0667,44.0167,21.52,69,0,5.06,MG,1720304033
231,kudahuvadhoo,2.6708,72.8944,28.36,74,100,1.16,MV,1720304034
232,namibe,-15.1961,12.1522,16.67,89,56,1.33,AO,1720304035
233,el granada,37.5027,-122.4694,35.94,51,20,9.26,US,1720304036
234,luganville,-15.5333,167.1667,24.38,62,90,5.2,VU,1720304038
235,gisborne,-38.6533,178.0042,8.25,74,1,4.4,NZ,1720304039
236,heyuan,23.7333,114.6833,25.95,94,1,0.56,CN,1720304040
237,ales,44.1333,4.0833,18.72,88,100,2.14,FR,1720304041
238,south hedland,-20.4089,118.5983,9.96,57,18,2.57,AU,1720304043
239,hilo,19.7297,-155.09,28.3,72,100,3.09,US,1720304044
240,ongjin,37.9347,125.3619,21.58,86,75,1.93,KP,1720304045
241,papao,-17.75,-149.55,28.82,80,10,9.22,PF,1720304046
242,arraial do cabo,-22.9661,-42.0278,21.76,82,1,4.95,BR,1720304048
243,chonchi,-42.6128,-73.8092,7.29,94,95,0.81,CL,1720304049
244,igrim,63.1906,64.4162,14.12,77,14,1.8,RU,1720304050
245,fonte boa,-2.4959,-66.2662,25.6,94,24,1.31,BR,1720304051
246,brookings,44.3114,-96.7984,27.0,44,40,4.63,US,1720304053
247,laojunmiao,39.8333,97.7333,15.79,55,55,3.16,CN,1720304054
248,lubao,14.9167,120.55,26.84,86,86,1.28,PH,1720304055
